lesson	sent_id	sound_file	sent	trans	grammar_sent	vocab_sent	kanji_sent
lesson01	TITLE	sound/L01.mp3	聖徳太子	1			
lesson01	01_01	sound/01_01.mov	紀元６０７年７月、中国の都、長安にある宮殿に小野妹子という日本からの使いが到着しました。	In the seventh month of A.D. 607, a messenger from Japan named Ono no Imoko arrived at the palace in Changan, the capital of China.	紀元６０７年７月、中国の都、長安にある宮殿に小野妹子という日本からの使いが到着しました。	<a onclick="show('../vocab/1535.html')">紀元</a>６０７年７月、<a onclick="show('../vocab/1992.html')">中国</a>の<a onclick="show('../vocab/1.html')">都</a>、<a onclick="show('../vocab/2.html')">長安</a>にある<a onclick="show('../vocab/3.html')">宮殿</a>に<a onclick="show('../vocab/1536.html')">小野妹子</a>という日本からの<a onclick="show('../vocab/4.html')">使い</a>が<a onclick="show('../vocab/5.html')">到着</a>しました。	紀元６０７年７月、中国の都、長<a onclick="show_gif('../kanji/1.gif')">安</a>にある宮殿に小野妹子という日本からの<a onclick="show_gif('../kanji/2.gif')">使</a>いが到着しました。
lesson01	01_02	sound/01_02.mov	長い、海の旅の間ずっと大事に持って来た政府からの手紙をふところから取り出すと、ゆっくりと読み始めました。	After taking from his pocket a letter from the government he had         carefully carried through the long journey over the ocean, he slowly began         to read.	長い、海の旅の間ずっと大事に持って来た政府からの手紙をふところから取り出すと、ゆっくりと読み始めました。	長い、海の<a onclick="show('../vocab/1993.html')">旅</a>の間ずっと<a onclick="show('../vocab/1537.html')">大事</a>に持って来た<a onclick="show('../vocab/1649.html')">政府</a>からの<a onclick="show('../vocab/1539.html')">手紙</a>を<a onclick="show('../vocab/6.html')">ふところ</a>から取り出すと、ゆっくりと読み<a onclick="show('../vocab/1660.html')">始め</a>ました。	長い、海の旅の間ずっと大事に持って来た政府からの手紙をふところから取り出すと、ゆっくりと読み始めました。
lesson01	01_03	sound/01_03.mov	「日出ずる処の天子、書を日没する処の天子にいたす。つつがなきや．．．。」	"I, Emperor of the Land of the Rising Sun, send this letter to the Emperor of the Land of the Setting Sun.  I trust you are well...."	「日出ずる処の天子、書を日没する処の天子にいたす。つつがなきや．．．。」	「日<a onclick="show('../vocab/1541.html')">出ずる</a><a onclick="show('../vocab/1542.html')">処</a>の<a onclick="show('../vocab/13.html')">天子</a>、<a onclick="show('../vocab/1543.html')">書を</a>日<a onclick="show('../vocab/1544.html')">没する</a>処の天子に<a onclick="show('../vocab/1989.html')">いたす</a>。<a onclick="show('../vocab/1545.html')">つつがなきや</a>．．．。」	「日出ずる<a onclick="show_gif('../kanji/3.gif')">処</a>の天子、書を日没する処の天子にいたす。つつがなきや．．．。」
lesson01	01_04	sound/01_04.mov	これは、その当時、摂政（今のアメリカの副大統領のような地位）として日本の国を治めていた聖徳太子の書いた手紙の書き出しの文で、「太陽の出てくるところの国の天子であるわたくしは、この手紙を太陽の沈む国の天子に送ります。いかがお過ごしですか．．．。」という意味の文章です。	That was the first line of a letter from Shōtoku Taishi, who governed Japan as Regent (a position similar to that of Vice President in America today) ; the meaning of the sentence is "I, Emperor (Son of Heaven) of the land from which the sun emerges, send this letter to the Emperor of the land where the sun goes down.  How are things with you?"	これは、その当時、摂政（今のアメリカの副大統領のような地位）として日本の国を治めていた聖徳太子の書いた手紙の書き出しの文で、「太陽の出てくるところの国の天子であるわたくしは、この手紙を太陽の沈む国の天子に送ります。いかがお過ごしですか．．．。」という意味の文章です。	これは、その<a onclick="show('../vocab/51.html')">当時</a>、<a onclick="show('../vocab/7.html')">摂政</a>（今のアメリカの<a onclick="show('../vocab/8.html')">副大統領</a>のような<a onclick="show('../vocab/62.html')">地位</a>）として日本の国を<a onclick="show('../vocab/10.html')">治めて</a>いた<a onclick="show('../vocab/1548.html')">聖徳太子</a>の書いた<a onclick="show('../vocab/1539.html')">手紙</a>の<a onclick="show('../vocab/188.html')">書き出し</a>の文で、「<a onclick="show('../vocab/704.html')">太陽</a>の出てくるところの国の<a onclick="show('../vocab/13.html')">天子</a>であるわたくしは、この手紙を太陽の<a onclick="show('../vocab/1549.html')">沈</a>む国の天子に送ります。いかがお<a onclick="show('../vocab/14.html')">過ごし</a>ですか．．．。」という<a onclick="show('../vocab/1597.html')">意味</a>の<a onclick="show('../vocab/15.html')">文章</a>です。	これは、その当時、摂政（今のアメリカの<a onclick="show_gif('../kanji/4.gif')">副</a>大<a onclick="show_gif('../kanji/5.gif')">統</a><a onclick="show_gif('../kanji/6.gif')">領</a>のような地位）として日本の国を治めていた<a onclick="show_gif('../kanji/340.gif')">聖</a>徳太子の書いた手紙の書き出しの文で、「太<a onclick="show_gif('../kanji/7.gif')">陽</a>の出てくるところの国の天子であるわたくしは、この手紙を太陽の沈む国の天子に送ります。いかがお<a onclick="show_gif('../kanji/8.gif')">過</a>ごしですか．．．。」という意味の文<a onclick="show_gif('../kanji/9.gif')">章</a>です。
lesson01	01_05	sound/01_05.mov	その頃、自分の国が世界で一番大きくて強い国だと自慢していた中国の皇帝は、これを聞いて非常におこってしまいました。	The Emperor of China, who was proud that his country was biggest and most powerful in the world at that time, was very angered when he heard the letter.	その頃、自分の国が世界で一番大きくて強い国だと自慢していた中国の皇帝は、これを聞いて非常におこってしまいました。	その<a onclick="show('../vocab/1586.html')">頃</a>、自分の国が<a onclick="show('../vocab/1550.html')">世界</a>で<a onclick="show('../vocab/1551.html')">一番</a>大きくて<a onclick="show('../vocab/1552.html')">強い</a>国だと<a onclick="show('../vocab/1988.html')">自慢</a>していた<a onclick="show('../vocab/1992.html')">中国</a>の<a onclick="show('../vocab/16.html')">皇帝</a>は、これを<a onclick="show('../vocab/1553.html')">聞いて</a><a onclick="show('../vocab/709.html')">非常に</a><a onclick="show('../vocab/17.html')">おこって</a>しまいました。	その頃、自分の国が世界で一番大きくて強い国だと自慢していた中国の<a onclick="show_gif('../kanji/361.gif')">皇</a>帝は、これを聞いて<a onclick="show_gif('../kanji/10.gif')">非</a><a onclick="show_gif('../kanji/11.gif')">常</a>におこってしまいました。
lesson01	01_06	sound/01_06.mov	この話は、日本が中国のような大きな国とでも対等に交際ができるようになったことをよく表しており、国民のプライドを高め、愛国心を深めるできごととして伝えられています。	This story is handed down as an event which showed that Japan could carry on relations on an equal basis even with a country as large as China. This raised the pride and deepened the patriotism of the people.	この話は、日本が中国のような大きな国とでも対等に交際ができるようになったことをよく表しており、国民のプライドを高め、愛国心を深めるできごととして伝えられています。	この話は、日本が<a onclick="show('../vocab/1992.html')">中国</a>のような大きな国とでも<a onclick="show('../vocab/18.html')">対等</a>に<a onclick="show('../vocab/1012.html')">交際</a>ができるようになったことをよく<a onclick="show('../vocab/1554.html')">表し</a>ており、<a onclick="show('../vocab/19.html')">国民</a>のプライドを高め、<a onclick="show('../vocab/20.html')">愛国心</a>を<a onclick="show('../vocab/1990.html')">深める</a><a onclick="show('../vocab/21.html')">できごと</a>として<a onclick="show('../vocab/1555.html')">伝え</a>られています。	この話は、日本が中国のような大きな国とでも<a onclick="show_gif('../kanji/12.gif')">対</a>等に交際ができるようになったことをよく表しており、国<a onclick="show_gif('../kanji/13.gif')">民</a>のプライドを高め、愛国心を深めるできごととして伝えられています。
lesson01	01_07	sound/01_07.mov	それまで大和と呼ばれていたのが日本と呼ばれるようになったのも、このできごとに由来するとも言われています。	It is also said that the change in the name of Japan from Yamato,         which had been the name to that point, to Nihon [origin of the sun] resulted         from this incident.	それまで大和と呼ばれていたのが日本と呼ばれるようになったのも、このできごとに由来するとも言われています。	それまで<a onclick="show('../vocab/22.html')">大和</a>と<a onclick="show('../vocab/1556.html')">呼ば</a>れていたのが日本と呼ばれるようになったのも、この<a onclick="show('../vocab/21.html')">できごと</a>に<a onclick="show('../vocab/23.html')">由来する</a>とも言われています。	それまで大和と呼ばれていたのが日本と呼ばれるようになったのも、このできごとに由来するとも言われています。
lesson01	01_08	sound/01_08.mov	聖徳太子はこのほかに国内でも数多くの新しい政治を行いました。	In addition to this, Shōtoku Taishi enacted many new domestic policies.	聖徳太子はこのほかに国内でも数多くの新しい政治を行いました。	<a onclick="show('../vocab/1548.html')">聖徳太子</a>は<a onclick="show('../vocab/2120.html')">このほかに</a><a onclick="show('../vocab/24.html')">国内</a>でも<a onclick="show('../vocab/25.html')">数多く</a>の<a onclick="show('../vocab/1661.html')">新しい</a><a onclick="show('../vocab/26.html')">政治</a>を<a onclick="show('../vocab/1557.html')">行い</a>ました。	<a onclick="show_gif('../kanji/340.gif')">聖</a>徳太子はこのほかに国<a onclick="show_gif('../kanji/14.gif')">内</a>でも数多くの新しい政治を行いました。
lesson01	01_09	sound/01_09.mov	それまで家族中心であった役人の身分昇格の仕方を改め、本当に才能のある人が高い階級につけるように冠位十二階という方法を取り入れました。	He reformed the method of advancement for officials, which had been entirely hereditary, adopting a twelve-step rank system in order that people of true ability would achieve high status.	それまで家族中心であった役人の身分昇格の仕方を改め、本当に才能のある人が高い階級につけるように冠位十二階という方法を取り入れました。	それまで<a onclick="show('../vocab/27.html')">家族中心</a>であった<a onclick="show('../vocab/28.html')">役人</a>の<a onclick="show('../vocab/666.html')">身分</a><a onclick="show('../vocab/30.html')">昇格</a>の<a onclick="show('../vocab/1558.html')">仕方</a>を<a onclick="show('../vocab/31.html')">改め</a>、<a onclick="show('../vocab/1559.html')">本当に</a><a onclick="show('../vocab/175.html')">才能</a>のある人が高い<a onclick="show('../vocab/33.html')">階級</a>につけるように<a onclick="show('../vocab/34.html')">冠位十二階</a>という<a onclick="show('../vocab/1560.html')">方法</a>を<a onclick="show('../vocab/35.html')">取り入れ</a>ました。	それまで家族中心であった<a onclick="show_gif('../kanji/15.gif')">役</a>人の身分昇格の仕方を<a onclick="show_gif('../kanji/16.gif')">改</a>め、本当に才能のある人が高い<a onclick="show_gif('../kanji/17.gif')">階</a><a onclick="show_gif('../kanji/18.gif')">級</a>につけるように冠位十二階という方法を取り入れました。
