lesson	sent_id	sound_file	sent	trans
lesson01	TITLE	sound/L01.mp3	聖徳太子: Translation	
lesson01	01_01	sound/01_01.mov	紀元６０７年７月、中国の都、長安にある宮殿に小野妹子という日本からの使いが到着しました。	In the seventh month of A.D. 607, a messenger from Japan named Ono no Imoko arrived at the palace in Changan, the capital of China.
lesson01	01_02	sound/01_02.mov	長い、海の旅の間ずっと大事に持って来た政府からの手紙をふところから取り出すと、ゆっくりと読み始めました。	After taking from his pocket a letter from the government he had         carefully carried through the long journey over the ocean, he slowly began         to read.
lesson01	01_03	sound/01_03.mov	「日出ずる処の天子、書を日没する処の天子にいたす。つつがなきや．．．。」	"I, Emperor of the Land of the Rising Sun, send this letter to the Emperor of the Land of the Setting Sun.  I trust you are well...."
lesson01	01_04	sound/01_04.mov	これは、その当時、摂政（今のアメリカの副大統領のような地位）として日本の国を治めていた聖徳太子の書いた手紙の書き出しの文で、「太陽の出てくるところの国の天子であるわたくしは、この手紙を太陽の沈む国の天子に送ります。いかがお過ごしですか．．．。」という意味の文章です。	That was the first line of a letter from Shōtoku Taishi, who governed Japan as Regent (a position similar to that of Vice President in America today) ; the meaning of the sentence is "I, Emperor (Son of Heaven) of the land from which the sun emerges, send this letter to the Emperor of the land where the sun goes down.  How are things with you?"
lesson01	01_05	sound/01_05.mov	その頃、自分の国が世界で一番大きくて強い国だと自慢していた中国の皇帝は、これを聞いて非常におこってしまいました。	The Emperor of China, who was proud that his country was biggest and most powerful in the world at that time, was very angered when he heard the letter.
lesson01	01_06	sound/01_06.mov	この話は、日本が中国のような大きな国とでも対等に交際ができるようになったことをよく表しており、国民のプライドを高め、愛国心を深めるできごととして伝えられています。	This story is handed down as an event which showed that Japan could carry on relations on an equal basis even with a country as large as China. This raised the pride and deepened the patriotism of the people.
lesson01	01_07	sound/01_07.mov	それまで大和と呼ばれていたのが日本と呼ばれるようになったのも、このできごとに由来するとも言われています。	It is also said that the change in the name of Japan from Yamato,         which had been the name to that point, to Nihon [origin of the sun] resulted         from this incident.
lesson01	01_08	sound/01_08.mov	聖徳太子はこのほかに国内でも数多くの新しい政治を行いました。	In addition to this, Shōtoku Taishi enacted many new domestic policies.
lesson01	01_09	sound/01_09.mov	それまで家族中心であった役人の身分昇格の仕方を改め、本当に才能のある人が高い階級につけるように冠位十二階という方法を取り入れました。	He reformed the method of advancement for officials, which had been entirely hereditary, adopting a twelve-step rank system in order that people of true ability would achieve high status.
lesson01	01_10	sound/01_10.mov	また役人が正しく規律法則を守れるよう、日本で初めての憲法と言われる十七条の憲法も定めました。	He also established the seventeen-article constitution, said to be Japan's first constitution, so that officials could correctly observe regulations and laws.
lesson01	01_11	sound/01_11.mov	また、この憲法の一条に「あつく仏教を敬え。」とあるように、仏の教えを基に国を治めようとしました。	He also attempted to govern the country on the basis of Buddhist teachings, as illustrated by the first article of the constitution which states, "Diligently honor Buddhism."
lesson01	01_12	sound/01_12.mov	現在、奈良に残っている世界最古の木造建築、法隆寺は、聖徳太子が父、用明天皇を祭って建てたと言われています。	It is said that Hōryūji Temple, which still exists in Nara as the oldest wooden structure in the world, was built by Shōtoku Taishi in honor of his father, Emperor Yōmei.
lesson01	01_13	sound/01_13.mov	このほか、仏教の経典をわかりやすく説明した「三経義疏」という解説書も書いて、仏教を多くの人に教えようとしました。	In addition to that, he wrote "Sangyōgisho," a commentary on the Buddhist scriptures making them easy to understand, and attempted to teach Buddhism to large numbers of people.
lesson01	01_14	sound/01_14.mov	このように、政治家としてだけでなく宗教家として、また学者として、より良い日本を造り上げようと努力したのが聖徳太子です。	It was in this manner that Shōtoku Taishi attempted to create a better Japan, not only as a statesman, but as a man of religion and as a scholar.
lesson01	01_15	sound/01_15.mov	亡くなる以前は、人々に厩戸豊聡耳皇子と呼ばれました。	Before he died he was called Umayado Toyotomimi no Ōji (Prince of the Stable whose ears hear all) by the people.
lesson01	01_16	sound/01_16.mov	これは、太子がうまやの前で急に生まれたこと、そして、何人もの話を同時に聞き分けたという言い伝えを表しています。	This name illustrates that he was born suddenly in front of the stables, and he could listen to and distinguish petitions from many people at once.
lesson01	01_17	sound/01_17.mov	キリスト教で神の子と信じられているイエスがうまやの中で生まれ、１２歳の年で当時の学者達以上に賢かったという話と非常に似ている点があっておもしろいと思います。	I feel this story is interesting because it has many points that greatly resemble the story of Jesus in Christianity, which says that Christ was born in a stable and at the age of 12 was more intelligent than scholars of his day.
lesson02	TITLE	sound/L02.mp3	万葉集: Translation	
lesson02	02_01	sound/02_01.mov	「万葉集」は日本で一番古い歌集です。	"The Man'yōshū" is the earliest poetry collection in Japan.
lesson02	02_02	sound/02_02.mov	約４５００首の和歌を２０巻に集めた歌集で、西暦７８０年頃に大伴家持という有名な作家が現在のような形に編集したと言われています。	It is a collection of some 4,500 poems divided into twenty volumes, and it is said to have been put into its current form around A.D.785 by the famous poet Otomo no Yakamochi.
